"sale_id","sale_date","product_name","customer_name","customer_type","customer_region","sales_type","quantity","sale_amount","payment_status"
S20250075,2025-05-31,카디오프릴정 10mg,대전의원11,의원,대전,정상판매,89,1420440,결제완료
S20250422,2025-04-20,울세이프정,강원메디컬센터47,종합병원,강원,정상판매,83,1387760,결제완료
S20250443,2025-06-09,카디오프릴정 10mg,서울약국26,약국,서울,정상판매,86,1372560,결제완료
S20250329,2025-06-30,리피다운정 20mg,충남의약품유통18,의약품도매상,충남,병원입찰,52,1368224,미결제
S20250460,2025-05-29,글루코밸런스정,울산의약품유통04,의약품도매상,울산,정상판매,76,1356448,결제완료
S20250177,2025-05-30,뉴로패치,서울의약품유통12,의약품도매상,서울,정상판매,50,1338600,결제완료
S20250256,2025-05-09,카디오프릴정 5mg,부산병원17,병원,부산,정상판매,110,1333750,결제완료
S20250142,2025-04-22,카디오프릴정 5mg,전남의원20,의원,전남,병원입찰,118,1298000,결제완료
S20250393,2025-06-28,브론코캡슐,울산의약품유통04,의약품도매상,울산,프로모션,76,1279080,결제완료
S20250450,2025-04-05,가스트론캡슐,경남병원37,병원,경남,정상판매,94,1276990,결제완료
S20250481,2025-06-30,대사케어정,전남병원10,병원,전남,정상판매,54,1210680,결제완료
S20250098,2025-06-09,베타가드정,경남약국49,약국,경남,정상판매,63,1209600,결제완료
S20250077,2025-05-26,브레스온흡입액,충북병원35,병원,충북,정상판매,35,1201830,미결제
S20250370,2025-05-30,알레르컷정,전남병원10,병원,전남,정상판매,108,1190160,결제완료
S20250176,2025-04-30,글루코밸런스정,광주병원38,병원,광주,병원입찰,73,1182016,결제완료
S20250168,2025-06-16,카디오프릴정 10mg,전북메디컬센터23,종합병원,전북,정상판매,74,1181040,결제완료
