sale_id,sale_date,product_id,sales_dept_id,customer_id,sales_type,sale_amount,payment_status
S20250086,2025-05-30,P003,D04,C002,정상판매,1619124,결제완료
S20250085,2025-04-03,P015,D02,C042,프로모션,1615680,결제완료
S20250332,2025-06-07,P023,D01,C006,정상판매,1609230,결제완료
S20250096,2025-05-15,P011,D04,C003,프로모션,1594770,결제완료
S20250276,2025-06-02,P030,D05,C005,정상판매,1552500,결제완료
S20250202,2025-05-16,P023,D04,C037,프로모션,1517590,결제완료
S20250304,2025-05-26,P011,D06,C001,병원입찰,1495296,미결제
S20250034,2025-04-23,P025,D01,C034,정상판매,1494540,결제완료
S20250491,2025-06-13,P019,D02,C013,프로모션,1494470,결제완료
S20250147,2025-04-28,P003,D07,C030,프로모션,1491580,결제완료
S20250244,2025-05-19,P023,D07,C017,정상판매,1485200,결제완료
S20250253,2025-06-12,P007,D02,C020,정상판매,1456455,부분결제
S20250349,2025-04-30,P026,D03,C013,정상판매,1452000,결제완료
S20250075,2025-05-31,P002,D03,C011,정상판매,1420440,결제완료
S20250422,2025-04-20,P009,D05,C047,정상판매,1387760,결제완료
S20250443,2025-06-09,P002,D01,C026,정상판매,1372560,결제완료
S20250329,2025-06-30,P004,D03,C018,병원입찰,1368224,미결제
S20250460,2025-05-29,P027,D03,C004,정상판매,1356448,결제완료
S20250177,2025-05-30,P025,D07,C012,정상판매,1338600,결제완료
S20250256,2025-05-09,P001,D01,C017,정상판매,1333750,결제완료
S20250142,2025-04-22,P001,D01,C020,병원입찰,1298000,결제완료
S20250393,2025-06-28,P015,D04,C004,프로모션,1279080,결제완료
S20250450,2025-04-05,P007,D01,C037,정상판매,1276990,결제완료
S20250481,2025-06-30,P029,D05,C010,정상판매,1210680,결제완료
S20250098,2025-06-09,P005,D06,C049,정상판매,1209600,결제완료
S20250077,2025-05-26,P011,D04,C035,정상판매,1201830,미결제
S20250370,2025-05-30,P012,D01,C010,정상판매,1190160,결제완료
S20250176,2025-04-30,P027,D03,C038,병원입찰,1182016,결제완료
S20250168,2025-06-16,P002,D01,C023,정상판매,1181040,결제완료
S20250399,2025-04-03,P022,D05,C003,정상판매,1116440,결제완료
S20250420,2025-05-23,P002,D05,C004,프로모션,1115520,미결제
S20250097,2025-04-15,P007,D03,C045,프로모션,1075360,결제완료
S20250496,2025-06-07,P028,D04,C009,정상판매,1057160,결제완료
S20250151,2025-06-24,P001,D07,C012,정상판매,1054875,결제완료
S20250139,2025-05-02,P012,D07,C049,정상판매,1044000,결제완료
S20250105,2025-04-22,P012,D04,C037,정상판매,1002820,미결제
S20250439,2025-05-26,P012,D02,C029,정상판매,986000,결제완료
S20250388,2025-06-15,P007,D04,C038,병원입찰,968968,결제완료
S20250418,2025-05-09,P001,D05,C027,정상판매,957875,결제완료
S20250015,2025-04-22,P015,D01,C015,정상판매,953700,결제완료
S20250470,2025-04-04,P004,D04,C037,프로모션,948090,미결제
S20250066,2025-05-11,P005,D03,C003,병원입찰,936192,결제완료
S20250347,2025-06-01,P021,D04,C018,병원입찰,915120,결제완료
S20250158,2025-05-17,P002,D04,C006,정상판매,896280,결제완료
S20250284,2025-04-08,P001,D07,C021,정상판매,875000,미결제
S20250063,2025-05-25,P017,D04,C005,정상판매,870200,결제완료
S20250494,2025-04-26,P015,D05,C015,프로모션,841500,결제완료
S20250104,2025-06-10,P016,D01,C019,정상판매,835461,결제완료
S20250135,2025-06-09,P015,D04,C039,정상판매,834394,결제완료
S20250067,2025-04-23,P024,D07,C021,정상판매,820800,결제완료
S20250175,2025-05-15,P002,D04,C043,프로모션,819840,결제완료
S20250012,2025-05-16,P012,D03,C012,정상판매,815480,결제완료
S20250050,2025-06-27,P006,D07,C050,프로모션,811440,미결제
S20250078,2025-05-31,P026,D05,C011,정상판매,790020,결제완료
S20250083,2025-06-08,P008,D06,C047,정상판매,774300,결제완료
S20250058,2025-04-03,P022,D01,C019,정상판매,760760,결제완료
S20250240,2025-04-11,P015,D07,C023,병원입찰,756976,결제완료
S20250392,2025-06-20,P008,D07,C036,정상판매,751071,결제완료
S20250093,2025-05-22,P005,D02,C010,정상판매,748800,결제완료
S20250419,2025-06-15,P027,D06,C023,정상판매,736000,결제완료
S20250354,2025-04-19,P007,D04,C018,정상판매,733590,결제완료
S20250144,2025-06-28,P002,D04,C021,정상판매,700728,미결제
S20250057,2025-04-14,P029,D05,C025,프로모션,698560,미결제
S20250068,2025-06-06,P025,D03,C034,정상판매,690000,결제완료
S20250258,2025-04-15,P003,D01,C043,프로모션,684800,미결제
S20250014,2025-04-30,P014,D06,C014,정상판매,673568,결제완료
S20250390,2025-04-24,P010,D05,C042,정상판매,664547,결제완료
S20250445,2025-05-31,P026,D04,C049,정상판매,652080,결제완료
S20250115,2025-04-01,P012,D06,C005,정상판매,650180,결제완료
S20250039,2025-04-01,P001,D05,C039,정상판매,650000,결제완료
S20250328,2025-05-07,P030,D07,C028,정상판매,622449,결제완료
S20250400,2025-04-06,P001,D06,C043,병원입찰,563500,부분결제
S20250325,2025-05-13,P010,D02,C020,정상판매,530400,결제완료
S20250337,2025-05-08,P023,D03,C036,정상판매,525350,결제완료
S20250299,2025-04-16,P014,D03,C017,프로모션,505920,결제완료
S20250141,2025-04-13,P024,D07,C024,정상판매,471960,결제완료
S20250359,2025-06-23,P021,D03,C026,정상판매,459420,부분결제
S20250201,2025-04-02,P012,D03,C014,정상판매,452400,결제완료
S20250477,2025-06-28,P012,D07,C023,프로모션,445440,미결제
S20250351,2025-05-02,P027,D03,C007,정상판매,423200,결제완료
S20250452,2025-05-06,P023,D02,C017,정상판매,420280,부분결제
S20250074,2025-05-16,P006,D06,C003,프로모션,415520,결제완료
S20250080,2025-05-29,P007,D04,C031,정상판매,414700,미결제
S20250467,2025-04-04,P030,D02,C013,정상판매,401580,결제완료
S20250374,2025-04-10,P004,D07,C003,정상판매,388388,결제완료
S20250008,2025-04-16,P008,D01,C008,정상판매,371925,부분결제
S20250026,2025-04-24,P026,D04,C026,프로모션,369600,결제완료
S20250218,2025-06-28,P013,D07,C044,정상판매,367745,미결제
S20250313,2025-04-14,P023,D06,C014,병원입찰,361504,결제완료
S20250052,2025-05-26,P026,D01,C047,정상판매,303600,미결제
S20250010,2025-06-25,P010,D06,C010,정상판매,300118,결제완료
S20250377,2025-05-25,P009,D01,C022,정상판매,281600,미결제
S20250162,2025-06-14,P007,D03,C031,정상판매,249678,결제완료
S20250227,2025-06-26,P022,D07,C049,병원입찰,248768,결제완료
S20250456,2025-06-17,P014,D07,C020,정상판매,240560,결제완료
S20250296,2025-05-01,P029,D06,C002,정상판매,201780,미결제
S20250022,2025-05-24,P022,D06,C022,프로모션,187200,미결제
S20250493,2025-04-01,P009,D02,C012,정상판매,183920,결제완료
S20250272,2025-04-02,P016,D06,C014,정상판매,173565,부분결제
S20250166,2025-04-06,P014,D03,C047,정상판매,168392,결제완료
S20250163,2025-04-29,P008,D06,C022,정상판매,156600,결제완료
S20250361,2025-06-20,P021,D02,C029,정상판매,153357,결제완료
S20250335,2025-04-14,P008,D07,C010,프로모션,148770,결제완료
S20250375,2025-05-13,P008,D01,C012,프로모션,140505,부분결제
S20250459,2025-06-06,P013,D04,C037,병원입찰,130824,결제완료
S20250191,2025-05-25,P005,D03,C034,프로모션,130560,결제완료
S20250438,2025-05-24,P027,D07,C029,정상판매,122360,결제완료
S20250132,2025-06-21,P015,D06,C003,정상판매,108834,결제완료
S20250229,2025-06-09,P021,D01,C021,정상판매,44175,결제완료
